,city,tot_act_pend,num_pgs,,city,,,,
142,Burbank CA,203,9,9,Burbank,CA,,,"Burbank, CA"
276,Gaithersburg MD,219,9,9,Gaithersburg,MD,,,"Gaithersburg, MD"
130,Rockville MD,192,8,8,Rockville,MD,,,"Rockville, MD"
261,Muskegon MI,197,8,8,Muskegon,MI,,,"Muskegon, MI"
269,Dover DE,192,8,8,Dover,DE,,,"Dover, DE"
8,Inglewood CA,174,7,7,Inglewood,CA,,,"Inglewood, CA"
18,Decatur GA,154,7,7,Decatur,GA,,,"Decatur, GA"
68,Sunnyvale CA,162,7,7,Sunnyvale,CA,,,"Sunnyvale, CA"
234,Santa Clara CA,150,7,6,Santa,Clara,CA,,"Santa Clara, CA"
248,Berkeley CA,164,7,7,Berkeley,CA,,,"Berkeley, CA"
249,Corona NY,163,7,7,Corona,NY,,,"Corona, NY"
254,Mansfield OH,159,7,7,Mansfield,OH,,,"Mansfield, OH"
277,Elmhurst NY,157,7,7,Elmhurst,NY,,,"Elmhurst, NY"
280,Cambridge MA,153,7,7,Cambridge,MA,,,"Cambridge, MA"
285,Norristown PA,158,7,7,Norristown,PA,,,"Norristown, PA"
133,Elizabeth NJ,126,6,6,Elizabeth,NJ,,,"Elizabeth, NJ"
165,Easton PA,132,6,6,Easton,PA,,,"Easton, PA"
4,Woodside NY,102,5,5,Woodside,NY,,,"Woodside, NY"
107,North Hollywood CA,121,5,5,North,Hollywood,CA,,"North Hollywood, CA"
157,Palo Alto CA,83,4,4,Palo,Alto,CA,,"Palo Alto, CA"
286,Ridgewood NY,91,4,4,Ridgewood,NY,,,"Ridgewood, NY"
218,Burlington VT,74,3,3,Burlington,VT,,,"Burlington, VT"
264,Hyattsville MD,57,3,3,Hyattsville,MD,,,"Hyattsville, MD"
