RegionName,City,State,CountyName,name,SizeRank,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07
85031,Phoenix,AZ,Maricopa,Phoenix-AZ-85031,5434,158900,159900,165000,165000,163500,164000,164000,164900,166000,169000,177200,176900
85755,Oro-Valley,AZ,Pima,Oro-Valley-AZ-85755,5498,365000,372500,350000,355000,370000,362551,369979.5,379900,395200,379950,376404,359000
85748,Tucson,AZ,Pima,Tucson-AZ-85748,5528,244000,242250,239450,239000,240000,238875,240000,247000,252475,250000,239500,249000
85749,Tucson,AZ,Pima,Tucson-AZ-85749,5579,454000,449500,450000,459850,460990,459950,459900,464990,475000,499000,489450,475000
85019,Phoenix,AZ,Maricopa,Phoenix-AZ-85019,5623,171999.5,174000,169900,170575.5,174949.5,172000,175000,177000,180000,180000,189900,192250
85284,Tempe,AZ,Maricopa,Tempe-AZ-85284,5631,450000,450000,450000,455900,470000,484900,479450,464950,480000,475000,464975,459894
86323,Chino-Valley,AZ,Yavapai,Chino-Valley-AZ-86323,5633,300614,306200,309900,315452,321890.5,338500,284950,289000,298750,299450,291500,286000
86005,Flagstaff,AZ,Coconino,Flagstaff-AZ-86005,5734,549900,550000,559900,564950,569900,564900,549900,595000,594950,549450,549000,549900
85253,Paradise-Valley,AZ,Maricopa,Paradise-Valley-AZ-85253,5810,1995000,1985000,2000000,2049000,1998500,2000000,2000000,2000000,2000000,2000000,2000000,1989950
85621,Nogales,AZ,Santa Cruz,Nogales-AZ-85621,6024,148000,157000,162450,153310,162000,173900,155000,175000,180000,182000,179000,194900
85118,Gold-Canyon,AZ,Pinal,Gold-Canyon-AZ-85118,6024,299250,300000,334750,345000,360000,362000,374750,339000,369000,366820,376450,395000
85262,Scottsdale,AZ,Maricopa,Scottsdale-AZ-85262,6102,877000,850000,899250,927000,949500,925000,925000,952500,947500,970000,949000,899900
85310,Phoenix,AZ,Maricopa,Phoenix-AZ-85310,6212,312473.5,304000,314999.5,309900,319900,325000,324900,309750,319000,324950,322450,315000
85139,Maricopa,AZ,Pinal,Maricopa-AZ-85139,6265,194900,195950,197606,199900,193450,187250,199000,189900,188500,195900,195000,198592
86426,Mohave-Valley,AZ,Mohave,Mohave-Valley-AZ-86426,6374,229825,232150,230000,227900,216500,206000,205000,199999,216850,224950,239900,242750
85648,Rio-Rico,AZ,Santa Cruz,Rio-Rico-AZ-85648,6440,160000,160000,155000,159900,160000,160000,159000,159000,162400,168250,179000,185000
85083,Phoenix,AZ,Maricopa,Phoenix-AZ-85083,6541,365495,377836.5,385000,369000,374000,376995,389900,389800,389000,380000,380000,379450
85658,Marana,AZ,Pima,Marana-AZ-85658,6583,350000,345000,341515,339500,355000,370966.5,374634.5,375000,375000,367500,355000,365000
